Category,1 ADULT - 0 Children,1 ADULT - 1 Child,1 ADULT - 2 Children,1 ADULT - 3 Children,2 ADULTS (1 WORKING) - 0 Children,2 ADULTS (1 WORKING) - 1 Child,2 ADULTS (1 WORKING) - 2 Children,2 ADULTS (1 WORKING) - 3 Children,2 ADULTS (BOTH WORKING) - 0 Children,2 ADULTS (BOTH WORKING) - 1 Child,2 ADULTS (BOTH WORKING) - 2 Children,2 ADULTS (BOTH WORKING) - 3 Children
Living Wage,$25.03,$46.45,$63.89,$77.46,$34.34,$41.54,$44.59,$51.76,$17.17,$26.32,$33.44,$40.05
Poverty Wage,$7.67,$10.40,$13.13,$15.87,$10.40,$13.13,$15.87,$18.60,$5.20,$6.57,$7.93,$9.30
Minimum Wage,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92,$15.92
,,,,,,,,,,,,
Food,"$5,083","$7,456","$11,171","$14,868","$9,318","$11,564","$14,875","$18,148","$9,318","$11,564","$14,875","$18,148"
Child Care,$0,"$17,171","$34,343","$41,020",$0,$0,$0,$0,$0,"$17,171","$34,343","$41,020"
Medical,"$3,829","$9,779","$9,968","$10,175","$7,685","$10,968","$11,353","$11,784","$7,685","$10,968","$11,353","$11,784"
Housing,"$17,549","$24,005","$24,005","$30,057","$19,835","$24,005","$24,005","$30,057","$19,835","$24,005","$24,005","$30,057"
Transportation,"$7,001","$8,103","$10,207","$11,744","$8,103","$10,207","$11,744","$13,148","$8,103","$10,207","$11,744","$13,148"
Civic,"$3,456","$5,834","$7,694","$8,762","$5,834","$7,694","$8,762","$9,810","$5,834","$7,694","$8,762","$9,810"
Internet & Mobile,"$1,495","$1,495","$1,495","$1,495","$2,070","$2,070","$2,070","$2,070","$2,070","$2,070","$2,070","$2,070"
Other,"$4,715","$8,573","$9,371","$10,204","$8,573","$9,598","$10,204","$11,424","$8,573","$9,598","$10,204","$11,424"
Required annual income after taxes,"$43,128","$82,415","$108,253","$128,325","$61,418","$76,105","$83,012","$96,441","$61,418","$93,276","$117,355","$137,462"
Annual taxes,"$8,939","$14,202","$24,632","$32,782","$10,002","$10,300","$9,737","$11,219","$10,002","$16,202","$21,752","$29,139"
Required annual income before taxes,"$52,067","$96,618","$132,885","$161,108","$71,420","$86,405","$92,750","$107,660","$71,420","$109,479","$139,107","$166,601"